Time, Latitude (deg), Longitude (deg), Vehicle speed (km/h), Engine coolant temperature, Intake manifold absolute pressure (kPa), Engine RPM (RPM), Intake air temperature (°C), Relative throttle position (%), Mass air flow sensor A (g/s), Mass air flow rate (g/s), Boost (kPa), Acceleration (m/s²), Acceleration (Avg) (m/s²), Engine Power (PS), Engine Torque (N•m), GPS Speed (km/h), Calculated load value (%), Engine oil temperature (°C), Fuel injection timing (deg), Instant fuel economy (l/100 km), Total fuel economy (l/100 km), Accel X (m/s²), Accel Y (m/s²), Accel Z (m/s²), Accel (Grav) X (m/s²), Accel (Grav) Y (m/s²), Accel (Grav) Z (m/s²), Time since engine start (sec), Fuel rail pressure (kPa), Absolute throttle position B (%), Absolute throttle position C (%), Accelerator pedal position D (%), Accelerator pedal position E (%), Accelerator pedal position F (%), Boost pressure sensor A (kPa), Altitude (m)
12/27/2023 05:24:25.5322 μ.μ.,40.53407,23.04489,0,87,104,801,31,4.705883,0,0,4,0,0,17.97794,162.041,0.02197827,19.60784,0,0,0,0,0.05265882,0.05567054,0.7618217,1.293909,0.9084609,-9.744885,4714,35600,0,0,22.7451,20,0,0,74.96413
12/27/2023 05:24:26.2644 μ.μ.,40.53408,23.04489,0,87,104,799,31,4.705883,0,10.339,3,0,0,17.75218,160.4067,0.206917,19.60784,0,0,0,0,-0.3387426,0.06453939,0.2912639,1.646875,0.8725355,-9.655671,4714,36080,0,0,22.7451,20,0,0,75.05401
12/27/2023 05:24:27.0341 μ.μ.,40.53408,23.04489,0,87,104,800,31,4.705883,0,10.31319,3,0,0,17.81159,160.7423,0.206917,19.60784,0,0,0,0,-0.1476297,0.1870472,0.04093777,1.643432,0.6111791,-9.58382,4714,35600,0,0,22.7451,20,0,0,75.05401
12/27/2023 05:24:27.8563 μ.μ.,40.53409,23.0449,0,87,104,800,31,4.705883,0,10.32609,3,0,0,17.97794,162.2436,0.3820521,19.60784,0,0,0,0,-0.06944898,0.1900624,0.2091029,1.655557,0.4882846,-9.83874,4714,35840,0,0,22.7451,19.60784,0,0,75.06947
12/27/2023 05:24:28.6887 μ.μ.,40.5341,23.04489,0,87,104,800,31,4.705883,0,10.32609,3,0,0,17.62147,159.0266,0.2779156,19.21569,0,0,0,0,-0.06227081,0.04270541,-0.1248123,1.705703,0.5424719,-9.53577,4714,35110,0,0,22.7451,19.60784,0,0,75.11096
12/27/2023 05:24:29.4242 μ.μ.,40.5341,23.04489,0,87,104,799.5,31,4.705883,0,10.32609,3,0,0,17.84724,161.1648,0.1188868,19.60784,0,0,0,0,-0.03434396,-0.02338723,-0.03047917,1.704356,0.5733078,-9.645641,4714,35600,0,0,22.7451,20,0,0,75.13094
12/27/2023 05:24:30.1923 μ.μ.,40.5341,23.04489,0,87,104,800,31,4.705883,0,10.31964,3,0,0,17.75218,160.2062,0,19.21569,0,0,0,0,-0.03312847,-0.03083895,0.1291489,1.723666,0.5945636,-9.813293,4714,35840,0,0,22.7451,20,0,0,75.13094
12/27/2023 05:24:30.9881 μ.μ.,40.5341,23.04489,0,87,104,800.5,31,4.705883,0,10.32609,3,0,0,18.01359,162.4638,0,19.21569,0,0,0,0,-0.01553853,-0.02178338,0.05704639,1.710343,0.5707631,-9.744586,4714,35600,0,0,22.7451,19.60784,0,0,75.13094
12/27/2023 05:24:31.9049 μ.μ.,40.5341,23.04489,0,87,104,799.5,31,4.705883,0,10.33255,3,0,0,18.01359,162.667,0,19.21569,0,0,0,0,0.02100098,-0.005627431,-0.1023224,1.669628,0.5168751,-9.578581,4714,35110,0,0,22.7451,20,0,0,75.13094
12/27/2023 05:24:32.7314 μ.μ.,40.5341,23.04489,0,87,104,799.5,31,4.705883,0,10.31964,3,0,0,18.01359,162.667,0,19.21569,0,0,0,0,-0.1216085,-0.06970277,0.195483,1.737587,0.5436695,-9.558373,4714,35110,0,0,22.7451,19.60784,0,0,75.13094
12/27/2023 05:24:33.5566 μ.μ.,40.5341,23.04489,0,87,104,800,31,4.705883,0,10.31964,3,0,0,18.01359,162.5653,0,19.60784,0,0,0,0,0.07253733,0.03378993,0.096995,1.603615,0.5023553,-9.780361,4722,34860,0,0,22.7451,20,0,0,75.13094
12/27/2023 05:24:34.4622 μ.μ.,40.5341,23.04489,0,87,104,800,31,4.705883,0,10.32609,3,0,0,17.71653,159.8845,0,19.21569,0,0,0,0,0.05713076,0.1342761,0.09965792,1.574725,0.3858975,-9.813892,4722,35110,0,0,22.7451,20,0,0,75.13094
12/27/2023 05:24:35.3794 μ.μ.,40.53416,23.0449,0,87,104,799.5,31,4.705883,0,10.32609,3,0,0,17.91853,161.8086,1.035871,19.21569,0,0,0,0,-0.0126191,0.1240506,-0.000729179,1.621728,0.318837,-9.705069,4722,34860,0,0,22.7451,20,0,0,75.81982
